ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
E,18,00, 9,  1.2, 9
E,18,12, 9,  1.0, 9
E,19,00,11,  0.9, 7
E,19,12,11,  1.2, 5
E,20,00,10,  1.4, 5
E,20,12, 9,  1.2, 5
E,21,00, 9,  1.2, 5
E,21,12, 9,  1.1, 5
E,22,00, 9,  1.2, 5
E,22,12, 9,  1.3, 5
E,23,00, 7,  1.5, 9
E,23,12, 8,  1.6,10
E,24,00, 7,  1.4, 7
E,24,12, 7,  1.6, 6
E,25,00,11,  1.7, 4
E,25,12,10,  1.6, 8
E,26,00,11,  1.4, 9
E,26,12,10,  1.3, 9
E,27,00,10,  1.1, 8
E,27,12, 9,  1.1, 7
E,28,00, 7,  2.1,10
E,28,12, 8,  2.6,10
E,29,00, 8,  2.4,10
E,29,12, 7,  1.7,10
E,30,00, 7,  1.6,10
E,30,12, 7,  1.8,10
E,31,00, 7,  1.5,10
E,31,12, 6,  1.4,10
F, 1,00, 9,  1.0, 7
F, 1,12,10,  1.0, 6
F, 2,00,10,  1.0, 7
F, 2,12, 9,  0.9, 7
F, 3,00, 9,  0.9, 6
F, 3,12, 9,  0.8, 6
F, 4,00, 9,  0.9, 6
F, 4,12, 9,  1.7, 6
F, 5,00,10,  2.0, 6
F, 5,12,10,  2.4, 7
F, 6,00, 9,  1.5, 8
F, 6,12, 9,  1.2, 8
F, 7,00, 9,  1.4, 8
F, 7,12,10,  1.6, 8
F, 8,00,10,  1.8, 8
F, 8,12,11,  2.3, 8
F, 9,00,12,  2.4, 8
F, 9,12,12,  2.2, 8
F,10,00,11,  2.2, 9
F,10,12,11,  2.2, 8
F,11,00,11,  2.5, 8
F,11,12,12,  2.5, 8
F,12,00,11,  2.5, 8
F,12,12,12,  2.7, 8
F,13,00,11,  2.7, 8
F,13,12,11,  3.1, 8
F,14,00,11,  2.5, 8
F,14,12,11,  3.0, 8
F,15,00,11,  3.4, 9
F,15,12, 9,  3.2, 9
F,16,00, 9,  3.1, 9
F,16,12, 9,  2.2,10
F,17,00, 9,  1.6, 9
F,17,12, 9,  1.4, 9
F,18,00, 9,  0.9, 9
F,18,12, 9,  0.8, 9
F,19,00, 9,  0.8, 7
F,19,12,10,  0.8, 7
F,20,00,10,  0.9, 7
F,20,12, 9,  0.9, 7
F,21,00, 9,  0.7, 7
F,21,12, 9,  0.7, 6
F,22,00, 9,  0.8, 7
F,22,12, 6,  0.9, 7
F,23,00, 7,  1.4,10
F,23,12, 7,  1.3,11
F,24,00, 7,  1.2,11
F,24,12, 7,  1.3,11
F,25,00, 7,  1.1, 9
F,25,12,11,  1.1, 9
F,26,00,11,  1.2, 9
F,26,12,11,  1.1, 9
F,27,00,10,  0.8, 9
F,27,12, 9,  1.0, 9
F,28,00, 6,  1.6,10
F,28,12, 8,  1.9,11
F,29,00, 7,  1.8,11
